county,county_fips,state,total_population,health_service_area_number,health_service_area,covid_inpatient_bed_utilization,covid_hospital_admissions_per_100k,covid_cases_per_100k,covid-19_community_level,date_updated
"Burke County, GA",13033,Georgia,"22,383",152,"Richmond (South Augusta), GA - Aiken, SC",8.80%,5.6,26.81,Low,3/3/22
"Butts County, GA",13035,Georgia,"24,936",204,"Spalding (Griffin), GA - Butts, GA",11.60%,16.4,88.23,Medium,3/3/22
"Calhoun County, GA",13037,Georgia,"6,189",144,"Dougherty (Albany), GA - Lee, GA",22.70%,2.8,242.37,High,3/3/22
"Camden County, GA",13039,Georgia,"54,666",158,"Duval (Jacksonville), FL - Clay, FL",6.50%,15.9,135.37,Medium,3/3/22
"Candler County, GA",13043,Georgia,"10,803",222,"Bulloch, GA - Emanuel, GA",6.50%,6.3,55.54,Low,3/3/22
"Carroll County, GA",13045,Georgia,"119,992",177,"Calhoun (Anniston), AL - Carroll, GA",2.90%,2.9,39.17,Low,3/3/22
"Catoosa County, GA",13047,Georgia,"67,580",141,"Hamilton (Chattanooga), TN - Walker, GA",7.70%,13.1,165.73,Medium,3/3/22
"Charlton County, GA",13049,Georgia,"13,392",158,"Duval (Jacksonville), FL - Clay, FL",6.50%,15.9,343.49,High,3/3/22
"Chatham County, GA",13051,Georgia,"289,430",143,"Chatham (Savannah), GA - Beaufort, SC",4.60%,4,48.03,Low,3/3/22
"Chattahoochee County, GA",13053,Georgia,"10,907",166,"Muscogee (Columbus), GA - Russell, AL",10.20%,14.9,73.35,Medium,3/3/22
"Chattooga County, GA",13055,Georgia,"24,789",154,"Floyd, GA - Bartow, GA",7.50%,8.7,173.46,Low,3/3/22
"Cherokee County, GA",13057,Georgia,"258,773",190,"Cobb (Marietta), GA - Cherokee, GA",10.10%,11.6,52.17,Medium,3/3/22
"Clarke County, GA",13059,Georgia,"128,331",164,"Clarke (Athens), GA - Barrow, GA",9.50%,13.7,31.95,Medium,3/3/22
"Clay County, GA",13061,Georgia,"2,834",144,"Dougherty (Albany), GA - Lee, GA",22.70%,2.8,35.29,High,3/3/22
"Clayton County, GA",13063,Georgia,"292,256",153,"Fulton (Atlanta), GA - DeKalb, GA",6.30%,7.5,59.54,Low,3/3/22
"Clinch County, GA",13065,Georgia,"6,618",174,"Ware, GA - Pierce, GA",10.50%,11,589.3,High,3/3/22
"Cobb County, GA",13067,Georgia,"760,141",190,"Cobb (Marietta), GA - Cherokee, GA",10.10%,11.6,71.96,Medium,3/3/22
"Coffee County, GA",13069,Georgia,"43,273",236,"Coffee, GA - Jeff Davis, GA",13.00%,6,316.59,High,3/3/22
"Colquitt County, GA",13071,Georgia,"45,600",254,"Colquitt, GA",0.00%,6.6,89.91,Low,3/3/22
"Columbia County, GA",13073,Georgia,"156,714",152,"Richmond (South Augusta), GA - Aiken, SC",8.80%,5.6,85.51,Low,3/3/22
"Cook County, GA",13075,Georgia,"17,270",180,"Lowndes, GA - Brooks, GA",12.10%,2.2,57.9,Medium,3/3/22
"Coweta County, GA",13077,Georgia,"148,509",172,"Coweta, GA - Troup (La Grange), GA",5.60%,6.8,53.87,Low,3/3/22
"Crawford County, GA",13079,Georgia,"12,404",193,"Bibb (Macon), GA - Houston, GA",5.20%,1.8,24.19,Low,3/3/22
"Crisp County, GA",13081,Georgia,"22,372",197,"Sumter, GA - Crisp, GA",10.40%,3.5,75.99,Medium,3/3/22
"Dade County, GA",13083,Georgia,"16,116",141,"Hamilton (Chattanooga), TN - Walker, GA",7.70%,13.1,210.97,High,3/3/22
"Dawson County, GA",13085,Georgia,"26,108",157,"Hall, GA - Habersham, GA",11.00%,3,84.27,Medium,3/3/22
"Decatur County, GA",13087,Georgia,"26,404",228,"Decatur, GA - Seminole, GA",7.10%,5,534.01,Medium,3/3/22
"DeKalb County, GA",13089,Georgia,"759,297",153,"Fulton (Atlanta), GA - DeKalb, GA",6.30%,7.5,75.6,Low,3/3/22
"Dodge County, GA",13091,Georgia,"20,605",206,"Laurens, GA - Toombs, GA",9.30%,6.9,14.56,Low,3/3/22
"Dooly County, GA",13093,Georgia,"13,390",197,"Sumter, GA - Crisp, GA",10.40%,3.5,44.81,Medium,3/3/22
"Dougherty County, GA",13095,Georgia,"87,956",144,"Dougherty (Albany), GA - Lee, GA",22.70%,2.8,65.94,High,3/3/22
"Douglas County, GA",13097,Georgia,"146,343",190,"Cobb (Marietta), GA - Cherokee, GA",10.10%,11.6,58.08,Medium,3/3/22
"Early County, GA",13099,Georgia,"10,190",144,"Dougherty (Albany), GA - Lee, GA",22.70%,2.8,68.69,High,3/3/22
"Echols County, GA",13101,Georgia,"4,006",180,"Lowndes, GA - Brooks, GA",12.10%,2.2,49.93,Medium,3/3/22
"Effingham County, GA",13103,Georgia,"64,296",143,"Chatham (Savannah), GA - Beaufort, SC",4.60%,4,49.77,Low,3/3/22
"Elbert County, GA",13105,Georgia,"19,194",253,"Elbert, GA - Wilkes, GA",4.80%,0,67.73,Low,3/3/22
"Emanuel County, GA",13107,Georgia,"22,646",222,"Bulloch, GA - Emanuel, GA",6.50%,6.3,75.07,Low,3/3/22
"Evans County, GA",13109,Georgia,"10,654",143,"Chatham (Savannah), GA - Beaufort, SC",4.60%,4,253.43,Medium,3/3/22
"Fannin County, GA",13111,Georgia,"26,188",173,"Bradley, TN - Gilmer, GA",7.60%,1.6,72.55,Low,3/3/22
"Fayette County, GA",13113,Georgia,"114,421",153,"Fulton (Atlanta), GA - DeKalb, GA",6.30%,7.5,67.3,Low,3/3/22
"Floyd County, GA",13115,Georgia,"98,498",154,"Floyd, GA - Bartow, GA",7.50%,8.7,138.07,Low,3/3/22
"Forsyth County, GA",13117,Georgia,"244,252",153,"Fulton (Atlanta), GA - DeKalb, GA",6.30%,7.5,190.38,Low,3/3/22
"Franklin County, GA",13119,Georgia,"23,349",216,"Stephens, GA - Hart, GA",8.80%,10.6,72.81,Medium,3/3/22
"Fulton County, GA",13121,Georgia,"1,063,937",153,"Fulton (Atlanta), GA - DeKalb, GA",6.30%,7.5,63.54,Low,3/3/22
"Gilmer County, GA",13123,Georgia,"31,369",173,"Bradley, TN - Gilmer, GA",7.60%,1.6,261.4,Medium,3/3/22
"Glascock County, GA",13125,Georgia,"2,971",152,"Richmond (South Augusta), GA - Aiken, SC",8.80%,5.6,0,Low,3/3/22
"Glynn County, GA",13127,Georgia,"85,292",158,"Duval (Jacksonville), FL - Clay, FL",6.50%,15.9,215.73,High,3/3/22
"Gordon County, GA",13129,Georgia,"57,963",154,"Floyd, GA - Bartow, GA",7.50%,8.7,300.19,Medium,3/3/22
"Grady County, GA",13131,Georgia,"24,633",178,"Thomas, GA - Mitchell, GA",4.40%,2.2,89.31,Low,3/3/22
"Greene County, GA",13133,Georgia,"18,324",164,"Clarke (Athens), GA - Barrow, GA",9.50%,13.7,65.49,Medium,3/3/22
"Gwinnett County, GA",13135,Georgia,"936,250",153,"Fulton (Atlanta), GA - DeKalb, GA",6.30%,7.5,61.74,Low,3/3/22
"Habersham County, GA",13137,Georgia,"45,328",157,"Hall, GA - Habersham, GA",11.00%,3,52.95,Medium,3/3/22
"Hall County, GA",13139,Georgia,"204,441",157,"Hall, GA - Habersham, GA",11.00%,3,63.59,Medium,3/3/22
"Hancock County, GA",13141,Georgia,"8,457",201,"Baldwin, GA - Putnam, GA",0.00%,0,70.95,Low,3/3/22
"Haralson County, GA",13143,Georgia,"29,792",177,"Calhoun (Anniston), AL - Carroll, GA",2.90%,2.9,36.92,Low,3/3/22
"Harris County, GA",13145,Georgia,"35,236",166,"Muscogee (Columbus), GA - Russell, AL",10.20%,14.9,36.89,Medium,3/3/22
"Hart County, GA",13147,Georgia,"26,205",216,"Stephens, GA - Hart, GA",8.80%,10.6,22.9,Medium,3/3/22
"Heard County, GA",13149,Georgia,"11,923",172,"Coweta, GA - Troup (La Grange), GA",5.60%,6.8,16.77,Low,3/3/22
"Henry County, GA",13151,Georgia,"234,561",153,"Fulton (Atlanta), GA - DeKalb, GA",6.30%,7.5,79.3,Low,3/3/22
"Houston County, GA",13153,Georgia,"157,863",193,"Bibb (Macon), GA - Houston, GA",5.20%,1.8,57.01,Low,3/3/22
"Irwin County, GA",13155,Georgia,"9,416",189,"Tift, GA - Ben Hill, GA",8.60%,16.1,138.06,Medium,3/3/22
"Jackson County, GA",13157,Georgia,"72,977",164,"Clarke (Athens), GA - Barrow, GA",9.50%,13.7,76.74,Medium,3/3/22
"Jasper County, GA",13159,Georgia,"14,219",220,"Newton (Covington), GA - Jasper, GA",10.70%,4,49.23,Medium,3/3/22
"Jeff Davis County, GA",13161,Georgia,"15,115",236,"Coffee, GA - Jeff Davis, GA",13.00%,6,125.7,Medium,3/3/22
"Jefferson County, GA",13163,Georgia,"15,362",250,"Washington, GA - Jefferson, GA",2.90%,2.8,104.15,Low,3/3/22
"Jenkins County, GA",13165,Georgia,"8,676",152,"Richmond (South Augusta), GA - Aiken, SC",8.80%,5.6,0,Low,3/3/22
"Johnson County, GA",13167,Georgia,"9,643",206,"Laurens, GA - Toombs, GA",9.30%,6.9,31.11,Low,3/3/22
"Jones County, GA",13169,Georgia,"28,735",193,"Bibb (Macon), GA - Houston, GA",5.20%,1.8,41.76,Low,3/3/22
"Lamar County, GA",13171,Georgia,"19,077",269,"Upson, GA - Lamar, GA",5.60%,9.3,52.42,Low,3/3/22
"Lanier County, GA",13173,Georgia,"10,423",180,"Lowndes, GA - Brooks, GA",12.10%,2.2,28.78,Medium,3/3/22
"Laurens County, GA",13175,Georgia,"47,546",206,"Laurens, GA - Toombs, GA",9.30%,6.9,14.72,Low,3/3/22
"Lee County, GA",13177,Georgia,"29,992",144,"Dougherty (Albany), GA - Lee, GA",22.70%,2.8,73.35,High,3/3/22
"Liberty County, GA",13179,Georgia,"61,435",143,"Chatham (Savannah), GA - Beaufort, SC",4.60%,4,66.74,Low,3/3/22
"Lincoln County, GA",13181,Georgia,"7,921",152,"Richmond (South Augusta), GA - Aiken, SC",8.80%,5.6,25.25,Low,3/3/22
"Long County, GA",13183,Georgia,"19,559",143,"Chatham (Savannah), GA - Beaufort, SC",4.60%,4,56.24,Low,3/3/22
"Lowndes County, GA",13185,Georgia,"117,406",180,"Lowndes, GA - Brooks, GA",12.10%,2.2,63.03,Medium,3/3/22
"Lumpkin County, GA",13187,Georgia,"33,610",157,"Hall, GA - Habersham, GA",11.00%,3,56.53,Medium,3/3/22
"McDuffie County, GA",13189,Georgia,"21,312",152,"Richmond (South Augusta), GA - Aiken, SC",8.80%,5.6,18.77,Low,3/3/22
"McIntosh County, GA",13191,Georgia,"14,378",158,"Duval (Jacksonville), FL - Clay, FL",6.50%,15.9,194.74,Medium,3/3/22
"Macon County, GA",13193,Georgia,"12,947",197,"Sumter, GA - Crisp, GA",10.40%,3.5,69.51,Medium,3/3/22
"Madison County, GA",13195,Georgia,"29,880",164,"Clarke (Athens), GA - Barrow, GA",9.50%,13.7,43.51,Medium,3/3/22
"Marion County, GA",13197,Georgia,"8,359",166,"Muscogee (Columbus), GA - Russell, AL",10.20%,14.9,59.82,Medium,3/3/22
"Meriwether County, GA",13199,Georgia,"21,167",172,"Coweta, GA - Troup (La Grange), GA",5.60%,6.8,42.52,Low,3/3/22
"Miller County, GA",13201,Georgia,"5,718",228,"Decatur, GA - Seminole, GA",7.10%,5,104.93,Low,3/3/22
"Mitchell County, GA",13205,Georgia,"21,863",178,"Thomas, GA - Mitchell, GA",4.40%,2.2,68.61,Low,3/3/22
"Monroe County, GA",13207,Georgia,"27,578",193,"Bibb (Macon), GA - Houston, GA",5.20%,1.8,87.03,Low,3/3/22
"Montgomery County, GA",13209,Georgia,"9,172",206,"Laurens, GA - Toombs, GA",9.30%,6.9,119.93,Low,3/3/22
"Morgan County, GA",13211,Georgia,"19,276",164,"Clarke (Athens), GA - Barrow, GA",9.50%,13.7,150.45,Medium,3/3/22
"Murray County, GA",13213,Georgia,"40,096",145,"Whitfield, GA - Murray, GA",20.40%,4.8,216.98,High,3/3/22
"Muscogee County, GA",13215,Georgia,"195,769",166,"Muscogee (Columbus), GA - Russell, AL",10.20%,14.9,72.02,Medium,3/3/22
"Newton County, GA",13217,Georgia,"111,744",220,"Newton (Covington), GA - Jasper, GA",10.70%,4,50.11,Medium,3/3/22
"Oconee County, GA",13219,Georgia,"40,280",164,"Clarke (Athens), GA - Barrow, GA",9.50%,13.7,62.07,Medium,3/3/22
"Oglethorpe County, GA",13221,Georgia,"15,259",164,"Clarke (Athens), GA - Barrow, GA",9.50%,13.7,45.87,Medium,3/3/22
"Paulding County, GA",13223,Georgia,"168,667",190,"Cobb (Marietta), GA - Cherokee, GA",10.10%,11.6,60.47,Medium,3/3/22
"Peach County, GA",13225,Georgia,"27,546",193,"Bibb (Macon), GA - Houston, GA",5.20%,1.8,79.87,Low,3/3/22
"Pickens County, GA",13227,Georgia,"32,591",190,"Cobb (Marietta), GA - Cherokee, GA",10.10%,11.6,95.12,Medium,3/3/22
"Pierce County, GA",13229,Georgia,"19,465",174,"Ware, GA - Pierce, GA",10.50%,11,231.18,High,3/3/22
"Pike County, GA",13231,Georgia,"18,962",269,"Upson, GA - Lamar, GA",5.60%,9.3,237.32,Medium,3/3/22
"Polk County, GA",13233,Georgia,"42,613",154,"Floyd, GA - Bartow, GA",7.50%,8.7,86.83,Low,3/3/22
"Pulaski County, GA",13235,Georgia,"11,137",193,"Bibb (Macon), GA - Houston, GA",5.20%,1.8,26.94,Low,3/3/22
"Putnam County, GA",13237,Georgia,"22,119",201,"Baldwin, GA - Putnam, GA",0.00%,0,81.38,Low,3/3/22
"Quitman County, GA",13239,Georgia,"2,299",162,"Houston (Dothan), AL - Dale, AL",8.20%,15.1,43.5,Medium,3/3/22
"Rabun County, GA",13241,Georgia,"17,137",268,"Rabun, GA",5.00%,5.8,105.04,Low,3/3/22
"Randolph County, GA",13243,Georgia,"6,778",144,"Dougherty (Albany), GA - Lee, GA",22.70%,2.8,44.26,High,3/3/22
"Richmond County, GA",13245,Georgia,"202,518",152,"Richmond (South Augusta), GA - Aiken, SC",8.80%,5.6,93.82,Low,3/3/22
"Rockdale County, GA",13247,Georgia,"90,896",153,"Fulton (Atlanta), GA - DeKalb, GA",6.30%,7.5,64.91,Low,3/3/22
"Schley County, GA",13249,Georgia,"5,257",166,"Muscogee (Columbus), GA - Russell, AL",10.20%,14.9,76.09,Medium,3/3/22
"Screven County, GA",13251,Georgia,"13,966",222,"Bulloch, GA - Emanuel, GA",6.50%,6.3,21.48,Low,3/3/22
"Seminole County, GA",13253,Georgia,"8,090",228,"Decatur, GA - Seminole, GA",7.10%,5,98.89,Low,3/3/22
"Spalding County, GA",13255,Georgia,"66,703",204,"Spalding (Griffin), GA - Butts, GA",11.60%,16.4,71.96,Medium,3/3/22
"Stephens County, GA",13257,Georgia,"25,925",216,"Stephens, GA - Hart, GA",8.80%,10.6,38.57,Medium,3/3/22
"Stewart County, GA",13259,Georgia,"6,621",166,"Muscogee (Columbus), GA - Russell, AL",10.20%,14.9,2205.1,High,3/3/22
"Sumter County, GA",13261,Georgia,"29,524",197,"Sumter, GA - Crisp, GA",10.40%,3.5,118.55,Medium,3/3/22
"Talbot County, GA",13263,Georgia,"6,195",166,"Muscogee (Columbus), GA - Russell, AL",10.20%,14.9,129.14,Medium,3/3/22
"Taliaferro County, GA",13265,Georgia,"1,537",152,"Richmond (South Augusta), GA - Aiken, SC",8.80%,5.6,0,Low,3/3/22
"Tattnall County, GA",13267,Georgia,"25,286",143,"Chatham (Savannah), GA - Beaufort, SC",4.60%,4,142.37,Low,3/3/22
"Taylor County, GA",13269,Georgia,"8,020",193,"Bibb (Macon), GA - Houston, GA",5.20%,1.8,37.41,Low,3/3/22
"Telfair County, GA",13271,Georgia,"15,860",206,"Laurens, GA - Toombs, GA",9.30%,6.9,94.58,Low,3/3/22
"Terrell County, GA",13273,Georgia,"8,531",144,"Dougherty (Albany), GA - Lee, GA",22.70%,2.8,23.44,High,3/3/22
"Thomas County, GA",13275,Georgia,"44,451",178,"Thomas, GA - Mitchell, GA",4.40%,2.2,103.48,Low,3/3/22
"Tift County, GA",13277,Georgia,"40,644",189,"Tift, GA - Ben Hill, GA",8.60%,16.1,46.75,Medium,3/3/22
"Toombs County, GA",13279,Georgia,"26,830",206,"Laurens, GA - Toombs, GA",9.30%,6.9,253.45,Medium,3/3/22
"Towns County, GA",13281,Georgia,"12,037",157,"Hall, GA - Habersham, GA",11.00%,3,207.69,High,3/3/22
"Treutlen County, GA",13283,Georgia,"6,901",206,"Laurens, GA - Toombs, GA",9.30%,6.9,72.45,Low,3/3/22
"Troup County, GA",13285,Georgia,"69,922",172,"Coweta, GA - Troup (La Grange), GA",5.60%,6.8,42.9,Low,3/3/22
"Turner County, GA",13287,Georgia,"7,985",189,"Tift, GA - Ben Hill, GA",8.60%,16.1,75.14,Medium,3/3/22
"Twiggs County, GA",13289,Georgia,"8,120",193,"Bibb (Macon), GA - Houston, GA",5.20%,1.8,123.15,Low,3/3/22
"Union County, GA",13291,Georgia,"24,511",157,"Hall, GA - Habersham, GA",11.00%,3,179.51,Medium,3/3/22
"Upson County, GA",13293,Georgia,"26,320",269,"Upson, GA - Lamar, GA",5.60%,9.3,79.79,Low,3/3/22
"Walker County, GA",13295,Georgia,"69,761",141,"Hamilton (Chattanooga), TN - Walker, GA",7.70%,13.1,190.65,Medium,3/3/22
"Walton County, GA",13297,Georgia,"94,593",153,"Fulton (Atlanta), GA - DeKalb, GA",6.30%,7.5,29.6,Low,3/3/22
"Ware County, GA",13299,Georgia,"35,734",174,"Ware, GA - Pierce, GA",10.50%,11,232.27,High,3/3/22
"Warren County, GA",13301,Georgia,"5,254",152,"Richmond (South Augusta), GA - Aiken, SC",8.80%,5.6,19.03,Low,3/3/22
"Washington County, GA",13303,Georgia,"20,374",250,"Washington, GA - Jefferson, GA",2.90%,2.8,137.43,Low,3/3/22
"Wayne County, GA",13305,Georgia,"29,927",230,"Wayne, GA - Appling, GA",2.00%,2.1,126.98,Low,3/3/22
"Webster County, GA",13307,Georgia,"2,607",166,"Muscogee (Columbus), GA - Russell, AL",10.20%,14.9,0,Medium,3/3/22
"Wheeler County, GA",13309,Georgia,"7,855",206,"Laurens, GA - Toombs, GA",9.30%,6.9,25.46,Low,3/3/22
"White County, GA",13311,Georgia,"30,798",157,"Hall, GA - Habersham, GA",11.00%,3,71.43,Medium,3/3/22
"Whitfield County, GA",13313,Georgia,"104,628",145,"Whitfield, GA - Murray, GA",20.40%,4.8,187.33,High,3/3/22
"Wilcox County, GA",13315,Georgia,"8,635",197,"Sumter, GA - Crisp, GA",10.40%,3.5,69.48,Medium,3/3/22
"Wilkes County, GA",13317,Georgia,"9,777",253,"Elbert, GA - Wilkes, GA",4.80%,0,30.68,Low,3/3/22
"Wilkinson County, GA",13319,Georgia,"8,954",193,"Bibb (Macon), GA - Houston, GA",5.20%,1.8,0,Low,3/3/22
"Worth County, GA",13321,Georgia,"20,247",144,"Dougherty (Albany), GA - Lee, GA",22.70%,2.8,54.33,High,3/3/22
"Hawaii County, HI",15001,Hawaii,"201,513",823,"Hawaii, HI",3.60%,4.5,111.16,Low,3/3/22
"Honolulu County, HI",15003,Hawaii,"974,563",821,"Honolulu (Honolulu), HI - Maui, HI",4.80%,7.3,100.56,Low,3/3/22
"Kalawao County, HI",15005,Hawaii,86,821,"Honolulu (Honolulu), HI - Maui, HI",4.80%,7.3,0,Low,3/3/22
"Kauai County, HI",15007,Hawaii,"72,293",822,"Kauai, HI",2.00%,1.4,165.99,Low,3/3/22
"Maui County, HI",15009,Hawaii,"167,417",821,"Honolulu (Honolulu), HI - Maui, HI",4.80%,7.3,114.09,Low,3/3/22
"Ada County, ID",16001,Idaho,"481,587",716,"Ada (Boise City), ID - Canyon, ID",9.70%,7.4,1174.04,Medium,3/3/22
"Adams County, ID",16003,Idaho,"4,294",729,"Malheur, OR - Payette, ID",3.90%,2.9,302.75,Medium,3/3/22
"Bannock County, ID",16005,Idaho,"87,808",696,"Bannock, ID - Bingham, ID",5.40%,4.5,119.58,Low,3/3/22
"Bear Lake County, ID",16007,Idaho,"6,125",715,"Cache, UT - Franklin, ID",5.00%,10.8,0,Medium,3/3/22
"Benewah County, ID",16009,Idaho,"9,298",734,"Kootenai, ID - Bonner, ID",9.20%,10.6,53.78,Medium,3/3/22
"Bingham County, ID",16011,Idaho,"46,811",696,"Bannock, ID - Bingham, ID",5.40%,4.5,74.77,Low,3/3/22
"Blaine County, ID",16013,Idaho,"23,021",808,"Blaine, ID - Camas, ID",1.70%,0,825.33,Medium,3/3/22
"Boise County, ID",16015,Idaho,"7,831",716,"Ada (Boise City), ID - Canyon, ID",9.70%,7.4,395.86,Medium,3/3/22
"Bonner County, ID",16017,Idaho,"45,739",734,"Kootenai, ID - Bonner, ID",9.20%,10.6,109.32,Medium,3/3/22
"Bonneville County, ID",16019,Idaho,"119,062",722,"Bonneville, ID - Madison, ID",5.90%,5.9,78.11,Low,3/3/22
"Boundary County, ID",16021,Idaho,"12,245",734,"Kootenai, ID - Bonner, ID",9.20%,10.6,98,Medium,3/3/22
"Butte County, ID",16023,Idaho,"2,597",722,"Bonneville, ID - Madison, ID",5.90%,5.9,38.51,Low,3/3/22
"Camas County, ID",16025,Idaho,"1,106",808,"Blaine, ID - Camas, ID",1.70%,0,452.08,Medium,3/3/22
"Canyon County, ID",16027,Idaho,"229,849",716,"Ada (Boise City), ID - Canyon, ID",9.70%,7.4,621.28,Medium,3/3/22
"Caribou County, ID",16029,Idaho,"7,155",696,"Bannock, ID - Bingham, ID",5.40%,4.5,41.93,Low,3/3/22
"Cassia County, ID",16031,Idaho,"24,030",730,"Cassia, ID - Minidoka, ID",14.20%,11.1,545.15,High,3/3/22
"Clark County, ID",16033,Idaho,845,722,"Bonneville, ID - Madison, ID",5.90%,5.9,0,Low,3/3/22
"Clearwater County, ID",16035,Idaho,"8,756",694,"Nez Perce, ID - Asotin, WA",5.50%,6.4,696.67,Medium,3/3/22
"Custer County, ID",16037,Idaho,"4,315",722,"Bonneville, ID - Madison, ID",5.90%,5.9,23.17,Low,3/3/22
"Elmore County, ID",16039,Idaho,"27,511",716,"Ada (Boise City), ID - Canyon, ID",9.70%,7.4,1072.3,Medium,3/3/22
"Franklin County, ID",16041,Idaho,"13,876",715,"Cache, UT - Franklin, ID",5.00%,10.8,28.83,Medium,3/3/22
"Fremont County, ID",16043,Idaho,"13,099",722,"Bonneville, ID - Madison, ID",5.90%,5.9,22.9,Low,3/3/22
"Gem County, ID",16045,Idaho,"18,112",716,"Ada (Boise City), ID - Canyon, ID",9.70%,7.4,325.75,Medium,3/3/22
"Gooding County, ID",16047,Idaho,"15,179",695,"Twin Falls, ID - Jerome, ID",10.40%,5.3,1080.44,High,3/3/22
"Idaho County, ID",16049,Idaho,"16,667",694,"Nez Perce, ID - Asotin, WA",5.50%,6.4,114,Low,3/3/22
"Jefferson County, ID",16051,Idaho,"29,871",722,"Bonneville, ID - Madison, ID",5.90%,5.9,33.48,Low,3/3/22
"Jerome County, ID",16053,Idaho,"24,412",695,"Twin Falls, ID - Jerome, ID",10.40%,5.3,1060.95,High,3/3/22
"Kootenai County, ID",16055,Idaho,"165,697",734,"Kootenai, ID - Bonner, ID",9.20%,10.6,135.19,Medium,3/3/22
"Latah County, ID",16057,Idaho,"40,108",784,"Whitman, WA - Latah, ID",1.80%,2.2,54.85,Low,3/3/22
"Lemhi County, ID",16059,Idaho,"8,027",813,"Lemhi, ID",0.00%,0,49.83,Low,3/3/22
"Lewis County, ID",16061,Idaho,"3,838",694,"Nez Perce, ID - Asotin, WA",5.50%,6.4,78.17,Low,3/3/22
"Lincoln County, ID",16063,Idaho,"5,366",695,"Twin Falls, ID - Jerome, ID",10.40%,5.3,987.7,High,3/3/22
"Madison County, ID",16065,Idaho,"39,907",722,"Bonneville, ID - Madison, ID",5.90%,5.9,77.68,Low,3/3/22
"Minidoka County, ID",16067,Idaho,"21,039",730,"Cassia, ID - Minidoka, ID",14.20%,11.1,508.58,High,3/3/22
"Nez Perce County, ID",16069,Idaho,"40,408",694,"Nez Perce, ID - Asotin, WA",5.50%,6.4,61.87,Low,3/3/22
"Oneida County, ID",16071,Idaho,"4,531",696,"Bannock, ID - Bingham, ID",5.40%,4.5,88.28,Low,3/3/22
"Owyhee County, ID",16073,Idaho,"11,823",716,"Ada (Boise City), ID - Canyon, ID",9.70%,7.4,397.53,Medium,3/3/22
"Payette County, ID",16075,Idaho,"23,951",729,"Malheur, OR - Payette, ID",3.90%,2.9,384.12,Medium,3/3/22
"Power County, ID",16077,Idaho,"7,681",696,"Bannock, ID - Bingham, ID",5.40%,4.5,130.19,Low,3/3/22
"Shoshone County, ID",16079,Idaho,"12,882",734,"Kootenai, ID - Bonner, ID",9.20%,10.6,131.97,Medium,3/3/22
"Teton County, ID",16081,Idaho,"12,142",722,"Bonneville, ID - Madison, ID",5.90%,5.9,90.59,Low,3/3/22
"Twin Falls County, ID",16083,Idaho,"86,878",695,"Twin Falls, ID - Jerome, ID",10.40%,5.3,1115.36,High,3/3/22
"Valley County, ID",16085,Idaho,"11,392",716,"Ada (Boise City), ID - Canyon, ID",9.70%,7.4,193.12,Low,3/3/22
"Washington County, ID",16087,Idaho,"10,194",729,"Malheur, OR - Payette, ID",3.90%,2.9,402.2,Medium,3/3/22
"Adams County, IL",17001,Illinois,"65,435",353,"Adams, IL - Marion, MO",3.70%,10.1,122.26,Medium,3/3/22
"Alexander County, IL",17003,Illinois,"5,761",563,"Cape Girardeau, MO - Butler, MO",6.10%,8.4,69.43,Low,3/3/22
"Bond County, IL",17005,Illinois,"16,426",299,"Madison (Alton), IL - Jersey, IL",6.40%,9.2,66.97,Low,3/3/22
"Boone County, IL",17007,Illinois,"53,544",291,"Winnebago (Rockford), IL - Ogle, IL",3.80%,5.2,128.87,Low,3/3/22
"Brown County, IL",17009,Illinois,"6,578",318,"Sangamon (Springfield), IL - Christian, IL",2.80%,6.8,197.63,Low,3/3/22
"Bureau County, IL",17011,Illinois,"32,628",336,"La Salle, IL - Livingston, IL",1.50%,4.9,116.46,Low,3/3/22
"Calhoun County, IL",17013,Illinois,"4,739",299,"Madison (Alton), IL - Jersey, IL",6.40%,9.2,84.41,Low,3/3/22
"Carroll County, IL",17015,Illinois,"14,305",361,"Whiteside, IL - Clinton, IA",2.70%,9.5,146.8,Low,3/3/22
"Cass County, IL",17017,Illinois,"12,147",318,"Sangamon (Springfield), IL - Christian, IL",2.80%,6.8,65.86,Low,3/3/22
"Champaign County, IL",17019,Illinois,"209,689",279,"Champaign (Champaign), IL - Coles, IL",2.50%,11.5,93.95,Medium,3/3/22
"Christian County, IL",17021,Illinois,"32,304",318,"Sangamon (Springfield), IL - Christian, IL",2.80%,6.8,300.27,Medium,3/3/22
"Clark County, IL",17023,Illinois,"15,441",311,"Vigo (Terre Haute), IN - Clay, IN",4.60%,6.4,90.67,Low,3/3/22
"Clay County, IL",17025,Illinois,"13,184",351,"Richland, IL - Clay, IL",5.70%,11.2,113.77,Medium,3/3/22
"Clinton County, IL",17027,Illinois,"37,562",325,"St. Clair (Belleville), IL - Clinton, IL",3.60%,4.4,69.22,Low,3/3/22
"Coles County, IL",17029,Illinois,"50,621",279,"Champaign (Champaign), IL - Coles, IL",2.50%,11.5,108.65,Medium,3/3/22
"Cook County, IL",17031,Illinois,"5,150,233",287,"Cook (Chicago), IL - DuPage, IL",3.50%,7,87.24,Low,3/3/22
"Crawford County, IL",17033,Illinois,"18,667",310,"Knox, IN - Daviess, IN",3.20%,7.1,117.86,Low,3/3/22
"Cumberland County, IL",17035,Illinois,"10,766",279,"Champaign (Champaign), IL - Coles, IL",2.50%,11.5,37.15,Medium,3/3/22
